"section","field","value","link","notes"
"section-70000000-0000-4000-8000-000000000001","Section ID","70000000-0000-4000-8000-000000000001","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000001","Page","home","",""
"section-70000000-0000-4000-8000-000000000001","Section Type","hero","",""
"section-70000000-0000-4000-8000-000000000001","Status","Published","",""
"section-70000000-0000-4000-8000-000000000001","Display Order","10","",""
"section-70000000-0000-4000-8000-000000000001","Eyebrow","The Decision Room","",""
"section-70000000-0000-4000-8000-000000000001","Title","Welcome back.","",""
"section-70000000-0000-4000-8000-000000000001","Body","What decision are you thinking through today?","",""
"section-70000000-0000-4000-8000-000000000001","Image","/images/member-home-landscape.webp","",""
"section-70000000-0000-4000-8000-000000000001","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000001","Image Alt","The Decision Room member artwork","",""
"section-70000000-0000-4000-8000-000000000001","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000001","Focal X","","",""
"section-70000000-0000-4000-8000-000000000001","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000001","Theme","light","",""
"section-70000000-0000-4000-8000-000000000001","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000001","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000001","Data Source","","",""
"section-70000000-0000-4000-8000-000000000002","Section ID","70000000-0000-4000-8000-000000000002","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000002","Page","home","",""
"section-70000000-0000-4000-8000-000000000002","Section Type","existing","",""
"section-70000000-0000-4000-8000-000000000002","Status","Published","",""
"section-70000000-0000-4000-8000-000000000002","Display Order","20","",""
"section-70000000-0000-4000-8000-000000000002","Eyebrow","","",""
"section-70000000-0000-4000-8000-000000000002","Title","","",""
"section-70000000-0000-4000-8000-000000000002","Body","","",""
"section-70000000-0000-4000-8000-000000000002","Image","","",""
"section-70000000-0000-4000-8000-000000000002","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000002","Image Alt","","",""
"section-70000000-0000-4000-8000-000000000002","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000002","Focal X","","",""
"section-70000000-0000-4000-8000-000000000002","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000002","Theme","light","",""
"section-70000000-0000-4000-8000-000000000002","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000002","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000002","Data Source","features","",""
"section-70000000-0000-4000-8000-000000000003","Section ID","70000000-0000-4000-8000-000000000003","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000003","Page","home","",""
"section-70000000-0000-4000-8000-000000000003","Section Type","existing","",""
"section-70000000-0000-4000-8000-000000000003","Status","Published","",""
"section-70000000-0000-4000-8000-000000000003","Display Order","30","",""
"section-70000000-0000-4000-8000-000000000003","Eyebrow","","",""
"section-70000000-0000-4000-8000-000000000003","Title","","",""
"section-70000000-0000-4000-8000-000000000003","Body","","",""
"section-70000000-0000-4000-8000-000000000003","Image","","",""
"section-70000000-0000-4000-8000-000000000003","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000003","Image Alt","","",""
"section-70000000-0000-4000-8000-000000000003","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000003","Focal X","","",""
"section-70000000-0000-4000-8000-000000000003","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000003","Theme","light","",""
"section-70000000-0000-4000-8000-000000000003","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000003","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000003","Data Source","events","",""
"section-70000000-0000-4000-8000-000000000004","Section ID","70000000-0000-4000-8000-000000000004","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000004","Page","home","",""
"section-70000000-0000-4000-8000-000000000004","Section Type","existing","",""
"section-70000000-0000-4000-8000-000000000004","Status","Published","",""
"section-70000000-0000-4000-8000-000000000004","Display Order","40","",""
"section-70000000-0000-4000-8000-000000000004","Eyebrow","","",""
"section-70000000-0000-4000-8000-000000000004","Title","","",""
"section-70000000-0000-4000-8000-000000000004","Body","","",""
"section-70000000-0000-4000-8000-000000000004","Image","","",""
"section-70000000-0000-4000-8000-000000000004","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000004","Image Alt","","",""
"section-70000000-0000-4000-8000-000000000004","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000004","Focal X","","",""
"section-70000000-0000-4000-8000-000000000004","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000004","Theme","light","",""
"section-70000000-0000-4000-8000-000000000004","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000004","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000004","Data Source","connections","",""
"section-70000000-0000-4000-8000-000000000005","Section ID","70000000-0000-4000-8000-000000000005","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000005","Page","library","",""
"section-70000000-0000-4000-8000-000000000005","Section Type","hero","",""
"section-70000000-0000-4000-8000-000000000005","Status","Published","",""
"section-70000000-0000-4000-8000-000000000005","Display Order","10","",""
"section-70000000-0000-4000-8000-000000000005","Eyebrow","The Library","",""
"section-70000000-0000-4000-8000-000000000005","Title","Ideas worth thinking about.","",""
"section-70000000-0000-4000-8000-000000000005","Body","Essays, AI prompts, decision briefs and business cases for better questions and better decisions.","",""
"section-70000000-0000-4000-8000-000000000005","Image","/images/library-hero.webp","",""
"section-70000000-0000-4000-8000-000000000005","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000005","Image Alt","Amanda reading and reflecting in the Library","",""
"section-70000000-0000-4000-8000-000000000005","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000005","Focal X","","",""
"section-70000000-0000-4000-8000-000000000005","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000005","Theme","light","",""
"section-70000000-0000-4000-8000-000000000005","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000005","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000005","Data Source","","",""
"section-70000000-0000-4000-8000-000000000006","Section ID","70000000-0000-4000-8000-000000000006","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000006","Page","library","",""
"section-70000000-0000-4000-8000-000000000006","Section Type","existing","",""
"section-70000000-0000-4000-8000-000000000006","Status","Published","",""
"section-70000000-0000-4000-8000-000000000006","Display Order","20","",""
"section-70000000-0000-4000-8000-000000000006","Eyebrow","","",""
"section-70000000-0000-4000-8000-000000000006","Title","","",""
"section-70000000-0000-4000-8000-000000000006","Body","","",""
"section-70000000-0000-4000-8000-000000000006","Image","","",""
"section-70000000-0000-4000-8000-000000000006","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000006","Image Alt","","",""
"section-70000000-0000-4000-8000-000000000006","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000006","Focal X","","",""
"section-70000000-0000-4000-8000-000000000006","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000006","Theme","light","",""
"section-70000000-0000-4000-8000-000000000006","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000006","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000006","Data Source","content","",""
"section-70000000-0000-4000-8000-000000000007","Section ID","70000000-0000-4000-8000-000000000007","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000007","Page","directory","",""
"section-70000000-0000-4000-8000-000000000007","Section Type","hero","",""
"section-70000000-0000-4000-8000-000000000007","Status","Published","",""
"section-70000000-0000-4000-8000-000000000007","Display Order","10","",""
"section-70000000-0000-4000-8000-000000000007","Eyebrow","In the Room","",""
"section-70000000-0000-4000-8000-000000000007","Title","In the Room","",""
"section-70000000-0000-4000-8000-000000000007","Body","Search by profession, education, location or sorority to discover members you may want to meet, learn from or simply get to know.","",""
"section-70000000-0000-4000-8000-000000000007","Image","/images/directory-hero.webp","",""
"section-70000000-0000-4000-8000-000000000007","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000007","Image Alt","A portrait from The Decision Room collection","",""
"section-70000000-0000-4000-8000-000000000007","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000007","Focal X","","",""
"section-70000000-0000-4000-8000-000000000007","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000007","Theme","light","",""
"section-70000000-0000-4000-8000-000000000007","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000007","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000007","Data Source","","",""
"section-70000000-0000-4000-8000-000000000008","Section ID","70000000-0000-4000-8000-000000000008","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000008","Page","directory","",""
"section-70000000-0000-4000-8000-000000000008","Section Type","existing","",""
"section-70000000-0000-4000-8000-000000000008","Status","Published","",""
"section-70000000-0000-4000-8000-000000000008","Display Order","20","",""
"section-70000000-0000-4000-8000-000000000008","Eyebrow","","",""
"section-70000000-0000-4000-8000-000000000008","Title","","",""
"section-70000000-0000-4000-8000-000000000008","Body","","",""
"section-70000000-0000-4000-8000-000000000008","Image","","",""
